"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4401","0","94.4","50.1","-0.6","73"
"","Haryana","5125","231","96.1","66.1","-0.1","244"
"","Rajasthan","7325","0","158.2","43.5","-0.9","195"
"","Delhi","3369","0","67.9","55.4","-0.3","254"
"","UP","10950","2200","228.6","105.6","-4.0","124"
"","Uttarakhand","1503","145","31.3","20.5","1.3","158"
"","HP","1241","0","23.8","11.7","0.6","85"
"","J&K","1557","100","32.0","20.8","-1.0","100"
"","Chandigarh","186","0","3.5","3.3","0.1","16"
"WR","Chhattisgarh","2977","49","70.7","22.4","-2.1","383"
"","Gujarat","12463","0","275.5","57.0","-0.1","355"
"","MP","6892","0","148.2","80.5","-1.6","267"
"","Maharashtra","18868","108","406.1","123.5","5.1","653"
"","Goa","373","0","8.2","7.7","-0.2","59"
"","DD","259","0","6.0","6.2","-0.2","3"
"","DNH","645","0","14.9","14.8","0.1","23"
"","Essar steel","507","0","10.8","11.2","-0.3","28"
"SR","Andhra Pradesh","11261","1000","261.5","88.1","6.4","459"
"","Karnataka","8790","300","190.0","34.8","0.8","325"
"","Kerala","2756","0","59.2","29.1","2.0","214"
"","Tamil Nadu","11547","680","267.6","97.0","-2.3","358"
"","Pondy","299","0","6.5","7.2","-0.6","38"
"ER","Bihar","2447","300","46.7","46.9","-1.3","184"
"","DVC","2422","100","57.0","-12.4","-0.2","280"
"","Jharkhand","885","42","19.4","11.7","0.6","140"
"","Odisha","3630","0","71.3","19.5","-0.1","220"
"","West Bengal","6961","98","143.1","38.1","1.3","275"
"","Sikkim","97","0","1.4","1.2","0.2","16"
"NER","Arunachal Pradesh","103","2","1.5","1.0","0.5","40"
"","Assam","1098","97","19.6","11.8","3.0","137"
"","Manipur","101","14","1.5","1.4","0.1","33"
"","Meghalaya","252","16","4.0","3.3","0.2","84"
"","Mizoram","70","5","1.1","1.0","-0.2","15"
"","Nagaland","98","2","1.5","1.5","-0.3","29"
"","Tripura","228","0","2.8","1.0","-0.6","50"
