"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9760","0","212.0","115.8","-1.2","95"
"","Haryana","7776","0","167.0","109.7","-1.8","125"
"","Rajasthan","8347","80","187.8","53.4","3.0","226"
"","Delhi","5003","7","106.1","77.7","-1.7","262"
"","UP","11689","2095","253.8","124.0","0.2","383"
"","Uttarakhand","1758","130","36.9","12.5","1.2","112"
"","HP","1231","0","25.8","0.0","0.9","115"
"","J&K","1536","100","27.0","17.5","-1.1","175"
"","Chandigarh","291","0","5.8","5.3","0.6","65"
"WR","Chhattisgarh","3118","155","70.6","23.9","-0.6","294"
"","Gujarat","13659","67","298.5","37.7","2.2","266"
"","MP","6236","42","141.9","85.0","-4.3","416"
"","Maharashtra","18368","465","406.1","109.8","1.2","452"
"","Goa","353","42","7.9","6.8","0.7","123"
"","DD","276","2","6.1","5.8","0.3","76"
"","DNH","721","5","15.5","15.9","-0.4","30"
"","Essar steel","451","3","9.7","0.0","9.7","11"
"SR","Andhra Pradesh","5477","600","122.7","24.4","-0.5","475"
"","Telangana","5152","800","116.8","63.1","3.1","552"
"","Karnataka","7818","900","161.1","23.0","-3.7","674"
"","Kerala","2981","150","59.5","27.6","1.9","319"
"","Tamil Nadu","12718","0","286.4","80.4","-3.0","413"
"","Pondy","313","20","6.9","6.9","0.0","27"
"ER","Bihar","2087","500","38.0","41.6","-3.6","150"
"","DVC","2354","0","49.5","-14.5","-4.2","60"
"","Jharkhand","1059","0","17.8","10.9","-1.2","80"
"","Odisha","3742","0","74.9","26.4","3.1","260"
"","West Bengal","6963","0","129.9","29.8","1.8","380"
"","Sikkim","73","0","1.0","1.1","-0.1","15"
"NER","Arunachal Pradesh","107","5","1.7","1.4","0.2","37"
"","Assam","1080","376","21.6","13.9","3.2","210"
"","Manipur","116","10","1.6","1.8","-0.2","35"
"","Meghalaya","274","17","4.1","0.3","-0.8","40"
"","Mizoram","67","9","1.0","1.0","-0.2","18"
"","Nagaland","108","5","1.7","1.6","-0.2","26"
"","Tripura","199","54","3.4","-0.5","1.6","88"
