"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4545","0","95.0","52.7","3.1","280"
"","Haryana","6067","0","112.5","53.0","0.2","289"
"","Rajasthan","9636","0","205.3","68.0","3.1","325"
"","Delhi","3255","0","62.3","38.9","0.1","279"
"","UP","9829","1920","206.0","87.9","-3.6","563"
"","Uttarakhand","1574","150","31.3","22.2","0.7","133"
"","HP","1329","0","24.2","16.4","0.9","178"
"","J&K","1861","0","28.7","28.6","-2.4","218"
"","Chandigarh","188","0","3.4","3.4","0.1","17"
"WR","Chhattisgarh","2887","18","63.4","9.0","0.3","278"
"","Gujarat","12394","0","279.7","51.2","-1.1","478"
"","MP","9258","0","204.2","115.3","0.7","560"
"","Maharashtra","19321","430","407.1","139.1","-0.3","357"
"","Goa","419","0","8.3","8.4","-0.6","70"
"","DD","273","0","6.1","6.2","0.0","9"
"","DNH","640","0","16.6","15.1","1.6","11"
"","Essar steel","335","0","7.1","6.9","0.2","50"
"SR","Andhra Pradesh","5577","400","126.2","27.2","0.6","414"
"","Telangana","5843","0","128.6","67.2","4.1","258"
"","Karnataka","7721","500","161.5","24.6","2.3","305"
"","Kerala","3270","350","60.4","28.3","2.1","408"
"","Tamil Nadu","10373","876","233.2","68.2","2.5","402"
"","Pondy","284","0","5.4","5.5","-0.1","38"
"ER","Bihar","2614","100","49.0","49.8","-3.1","80"
"","DVC","2316","0","51.7","-12.2","0.1","190"
"","Jharkhand","1005","0","22.1","11.2","-0.2","60"
"","Odisha","3476","0","64.7","20.4","1.1","260"
"","West Bengal","6842","0","120.4","17.1","2.3","270"
"","Sikkim","93","0","1.3","1.2","0.1","35"
"NER","Arunachal Pradesh","106","4","1.6","1.4","0.2","46"
"","Assam","1250","22","22.3","13.9","3.4","374"
"","Manipur","134","2","2.1","2.2","-0.1","48"
"","Meghalaya","270","15","4.8","4.1","-0.5","50"
"","Mizoram","74","1","1.2","1.1","0.1","15"
"","Nagaland","97","13","2.1","1.4","0.2","37"
"","Tripura","205","18","2.7","0.8","-0.2","46"
