"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4330","0","81.8","49.3","-1.2","91"
"","Haryana","5349","68","93.5","63.7","0.1","298"
"","Rajasthan","8394","0","180.7","61.5","0.1","178"
"","Delhi","3219","0","57.3","39.6","0.1","199"
"","UP","10199","2075","213.7","88.7","-2.3","249"
"","Uttarakhand","1751","0","33.1","21.7","2.0","232"
"","HP","1303","0","23.7","16.2","-0.3","151"
"","J&K","1911","337","39.6","30.5","0.6","184"
"","Chandigarh","187","0","3.4","3.3","0.3","13"
"WR","Chhattisgarh","3515","96","80.8","26.7","-0.5","381"
"","Gujarat","11846","0","263.7","70.8","0.2","802"
"","MP","7042","0","149.2","87.2","-2.5","224"
"","Maharashtra","17669","62","376.6","100.1","-1.1","487"
"","Goa","428","0","9.0","7.9","0.3","126"
"","DD","290","0","6.5","6.3","0.2","54"
"","DNH","699","0","16.1","16.2","-0.6","31"
"","Essar steel","527","0","9.6","10.2","-0.6","108"
"SR","Andhra Pradesh","6232","0","144.0","15.8","2.5","591"
"","Telangana","5796","300","135.5","84.0","1.3","270"
"","Karnataka","8496","400","184.2","29.9","2.1","410"
"","Kerala","3461","35","65.6","41.6","1.5","198"
"","Tamil Nadu","12367","819","282.3","114.9","3.8","261"
"","Pondy","310","0","6.5","6.6","-0.1","21"
"ER","Bihar","2560","200","52.7","46.1","1.4","230"
"","DVC","2410","0","55.5","-15.5","-1.4","180"
"","Jharkhand","1045","0","21.9","11.0","0.2","110"
"","Odisha","3504","100","67.5","20.6","-0.2","210"
"","West Bengal","7104","48","136.4","31.7","0.0","280"
"","Sikkim","114","0","1.4","1.3","0.2","45"
"NER","Arunachal Pradesh","95","0","1.4","0.9","0.5","42"
"","Assam","1130","140","21.5","13.3","3.9","180"
"","Manipur","127","3","2.0","2.1","-0.1","36"
"","Meghalaya","343","2","5.1","4.0","-0.4","67"
"","Mizoram","80","2","1.2","0.9","0.3","38"
"","Nagaland","110","6","2.2","1.2","0.9","44"
"","Tripura","227","1","2.2","0.4","0.2","80"
