"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4678","0","92.9","55.9","0.0","98"
"","Haryana","5588","0","99.7","77.0","0.8","186"
"","Rajasthan","7324","0","161.3","58.6","-0.3","117"
"","Delhi","3483","0","70.8","53.5","1.2","265"
"","UP","10128","3680","226.3","97.5","-0.9","290"
"","Uttarakhand","1556","215","32.1","19.5","3.5","345"
"","HP","1342","0","25.2","13.3","1.3","181"
"","J&K","1822","361","37.7","24.0","0.2","263"
"","Chandigarh","193","0","3.7","3.7","0.3","25"
"WR","Chhattisgarh","3633","96","82.5","30.6","1.0","261"
"","Gujarat","13491","0","301.0","63.0","1.0","321"
"","MP","7202","0","152.5","93.5","-1.5","271"
"","Maharashtra","18573","47","402.4","106.6","-2.2","307"
"","Goa","425","0","9.1","7.9","0.6","131"
"","DD","290","0","6.4","6.2","0.2","57"
"","DNH","714","0","16.5","16.5","0.3","39"
"","Essar steel","538","0","11.6","11.3","0.3","158"
"SR","Andhra Pradesh","6724","0","152.4","29.3","0.5","515"
"","Telangana","6349","0","144.6","85.7","2.7","303"
"","Karnataka","8833","400","197.9","36.7","2.2","473"
"","Kerala","3144","125","63.0","40.0","1.4","210"
"","Tamil Nadu","12108","934","295.5","117.5","0.4","454"
"","Pondy","342","0","7.3","7.3","0.0","30"
"ER","Bihar","2448","100","49.2","46.1","0.7","0"
"","DVC","2419","50","56.6","-17.5","-1.2","0"
"","Jharkhand","926","0","22.0","10.3","-0.9","0"
"","Odisha","3959","0","76.9","18.5","-0.5","0"
"","West Bengal","7641","0","137.2","35.0","-2.3","0"
"","Sikkim","102","0","1.0","1.1","-0.1","0"
"NER","Arunachal Pradesh","84","5","1.1","1.3","-0.2","65"
"","Assam","1154","159","18.9","12.8","1.2","180"
"","Manipur","102","6","1.5","1.5","0.0","32"
"","Meghalaya","285","2","4.6","3.1","-0.1","69"
"","Mizoram","71","3","1.2","1.0","0.2","27"
"","Nagaland","105","4","2.0","1.5","0.5","34"
"","Tripura","218","9","3.2","1.0","0.0","47"
