"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6639","0","143.5","91.6","-1.0","120"
"","Haryana","6788","0","124.6","78.9","-0.7","313"
"","Rajasthan","7509","0","164.3","72.7","2.3","300"
"","Delhi","4763","2","95.8","76.6","-2.9","127"
"","UP","11705","3685","245.0","117.0","-0.9","435"
"","Uttarakhand","1793","75","39.2","18.3","1.7","198"
"","HP","1311","0","26.7","4.1","0.6","104"
"","J&K","1822","364","36.5","21.2","1.1","333"
"","Chandigarh","291","0","5.7","5.6","0.3","21"
"WR","Chhattisgarh","3433","96","77.8","25.5","-2.1","260"
"","Gujarat","13635","0","299.7","65.8","-0.2","326"
"","MP","6757","0","139.4","82.8","-3.1","529"
"","Maharashtra","19911","83","436.4","114.8","1.1","808"
"","Goa","411","0","9.5","8.4","0.5","104"
"","DD","298","0","6.5","6.8","-0.3","35"
"","DNH","698","0","16.0","16.3","-0.2","23"
"","Essar steel","402","0","8.2","8.4","-0.2","81"
"SR","Andhra Pradesh","6501","0","144.5","43.2","2.3","445"
"","Telangana","5749","0","131.4","77.0","1.7","319"
"","Karnataka","7822","400","155.0","20.1","0.1","438"
"","Kerala","3465","0","63.3","36.6","0.8","307"
"","Tamil Nadu","11136","70","257.1","105.9","2.1","348"
"","Pondy","328","0","6.6","6.7","-0.1","69"
"ER","Bihar","2803","350","56.0","50.9","0.6","250"
"","DVC","2767","0","63.8","-36.2","-0.9","200"
"","Jharkhand","1006","0","22.9","11.6","-0.6","50"
"","Odisha","3752","0","76.1","27.0","1.4","220"
"","West Bengal","7457","0","152.4","48.3","2.5","250"
"","Sikkim","86","0","1.1","1.6","-0.5","24"
"NER","Arunachal Pradesh","99","6","1.1","1.4","-0.2","44"
"","Assam","1258","149","25.4","15.2","3.6","200"
"","Manipur","126","7","2.0","2.0","0.0","70"
"","Meghalaya","283","0","4.1","3.3","-0.9","68"
"","Mizoram","67","3","1.3","1.0","0.2","26"
"","Nagaland","99","5","1.8","1.5","0.2","30"
"","Tripura","232","10","3.6","1.0","0.5","56"
