"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9534","0","202.3","114.9","0.9","235"
"","Haryana","7184","82","157.0","126.9","-1.4","316"
"","Rajasthan","7319","0","159.9","55.2","0.5","368"
"","Delhi","4775","0","95.8","76.7","-0.1","191"
"","UP","12046","2595","254.3","123.3","1.0","590"
"","Uttarakhand","1520","185","32.7","18.5","3.4","347"
"","HP","1204","3","24.8","3.1","0.6","145"
"","J&K","1905","476","36.9","21.4","0.3","146"
"","Chandigarh","288","0","5.7","5.9","0.3","6"
"WR","Chhattisgarh","3036","0","64.5","22.2","-1.0","361"
"","Gujarat","10793","0","233.2","42.2","-1.7","326"
"","MP","5776","0","114.5","82.4","-0.2","203"
"","Maharashtra","16018","34","353.7","75.2","-0.4","605"
"","Goa","411","0","9.7","7.8","1.4","112"
"","DD","291","0","6.5","6.1","0.4","54"
"","DNH","702","0","16.3","16.4","-0.1","53"
"","Essar steel","448","0","9.2","8.5","0.6","-90"
"SR","Andhra Pradesh","6050","0","143.5","27.8","7.7","582"
"","Telangana","5522","0","119.1","84.5","-0.9","276"
"","Karnataka","7608","300","157.8","24.4","3.7","552"
"","Kerala","2785","125","55.0","29.6","1.1","269"
"","Tamil Nadu","13085","0","294.2","91.4","-2.1","931"
"","Pondy","325","0","7.4","7.0","0.4","37"
"ER","Bihar","2869","200","57.7","57.6","-2.2","180"
"","DVC","2716","0","62.0","-18.8","-0.8","200"
"","Jharkhand","1062","0","21.9","13.5","-1.6","90"
"","Odisha","4099","0","79.7","19.0","2.5","210"
"","West Bengal","6048","0","126.7","40.9","0.3","150"
"","Sikkim","89","0","1.4","1.0","0.4","30"
"NER","Arunachal Pradesh","102","1","1.2","1.8","-0.6","41"
"","Assam","1283","152","24.7","19.6","0.9","140"
"","Manipur","129","1","2.1","2.3","-0.2","28"
"","Meghalaya","250","5","4.0","0.4","-0.7","50"
"","Mizoram","73","1","1.2","1.1","0.1","75"
"","Nagaland","114","1","1.9","1.6","0.3","47"
"","Tripura","218","2","2.8","1.6","-0.7","30"
