"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9300","0","205.5","119.0","-1.0","158"
"","Haryana","7736","0","165.9","125.0","-0.5","272"
"","Rajasthan","7520","0","169.9","50.2","2.3","341"
"","Delhi","5079","0","105.3","88.4","0.9","392"
"","UP","11897","4350","268.9","130.2","5.5","565"
"","Uttarakhand","1905","0","37.7","13.9","1.9","211"
"","HP","1027","217","25.0","-2.4","3.4","482"
"","J&K","1764","441","33.8","19.3","1.0","286"
"","Chandigarh","285","0","5.8","6.0","0.3","16"
"WR","Chhattisgarh","3238","96","76.3","23.6","-0.5","74"
"","Gujarat","11418","0","247.0","54.8","-4.2","405"
"","MP","6554","0","135.8","81.8","0.0","290"
"","Maharashtra","17057","51","379.5","110.9","1.3","639"
"","Goa","379","0","8.4","7.6","0.2","39"
"","DD","295","0","6.5","6.3","0.1","52"
"","DNH","684","0","15.8","15.7","0.1","28"
"","Essar steel","444","0","7.2","7.9","-0.7","86"
"SR","Andhra Pradesh","6061","0","141.0","29.5","4.2","498"
"","Telangana","6001","0","139.0","92.3","-0.4","300"
"","Karnataka","8618","300","169.8","28.5","1.7","332"
"","Kerala","3110","0","57.5","35.5","1.5","233"
"","Tamil Nadu","12104","0","277.4","98.9","0.4","443"
"","Pondy","316","0","6.8","7.0","-0.2","20"
"ER","Bihar","2998","0","60.1","61.5","-2.2","300"
"","DVC","2356","0","55.0","-20.0","0.8","350"
"","Jharkhand","1099","0","20.9","13.6","-0.4","200"
"","Odisha","3775","0","71.3","17.6","1.3","220"
"","West Bengal","6456","9","127.4","47.4","1.2","350"
"","Sikkim","85","0","1.4","1.1","0.3","20"
"NER","Arunachal Pradesh","102","6","1.2","2.2","-1.0","20"
"","Assam","1172","243","25.8","18.6","2.7","215"
"","Manipur","116","7","1.7","1.9","-0.2","66"
"","Meghalaya","273","0","4.3","1.6","-0.8","32"
"","Mizoram","68","4","1.1","1.0","0.1","19"
"","Nagaland","121","3","1.6","1.7","-0.1","31"
"","Tripura","172","43","3.2","0.0","1.4","92"
