"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5665","0","111.9","42.4","0.0","206"
"","Haryana","6265","0","115.2","63.9","-1.1","156"
"","Rajasthan","10322","0","224.1","73.4","1.8","293"
"","Delhi","3451","23","60.3","46.3","0.2","261"
"","UP","10488","750","232.7","107.1","0.9","252"
"","Uttarakhand","1885","0","36.5","27.7","0.6","101"
"","HP","1426","0","26.4","21.9","0.0","142"
"","J&K","2016","504","42.1","35.8","-0.1","112"
"","Chandigarh","203","0","3.6","3.7","0.3","22"
"WR","Chhattisgarh","3194","96","70.3","23.6","0.2","176"
"","Gujarat","12518","18","266.5","69.5","3.9","604"
"","MP","10815","0","219.2","127.9","-4.5","455"
"","Maharashtra","18202","15","387.2","94.2","-2.7","571"
"","Goa","389","0","7.9","8.1","-0.8","9"
"","DD","256","0","4.5","4.7","-0.2","3"
"","DNH","675","0","15.7","15.6","0.1","42"
"","Essar steel","392","0","6.8","5.3","1.5","257"
"SR","Andhra Pradesh","6275","0","132.3","36.4","0.4","250"
"","Telangana","5834","0","132.9","84.8","2.0","266"
"","Karnataka","7879","900","171.8","43.7","7.1","763"
"","Kerala","3250","0","62.2","47.8","1.5","109"
"","Tamil Nadu","11962","0","244.2","112.8","2.2","441"
"","Pondy","301","0","6.2","6.2","0.0","15"
"ER","Bihar","3312","100","64.0","61.1","0.6","150"
"","DVC","2449","0","52.0","-12.5","-4.4","70"
"","Jharkhand","979","50","20.9","10.6","0.0","110"
"","Odisha","3744","0","72.1","21.4","3.9","168"
"","West Bengal","6443","0","123.6","21.3","5.5","232"
"","Sikkim","64","0","1.1","1.2","-0.2","20"
"NER","Arunachal Pradesh","93","2","1.9","1.3","0.6","57"
"","Assam","1280","28","21.7","13.7","3.1","285"
"","Manipur","125","5","2.4","2.1","0.3","46"
"","Meghalaya","330","1","5.4","4.2","-0.2","36"
"","Mizoram","75","2","1.4","1.0","0.4","35"
"","Nagaland","115","1","2.0","1.4","0.5","50"
"","Tripura","193","2","2.4","-2.3","1.4","68"
