"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5955","0","122.6","62.2","-1.5","86"
"","Haryana","7122","0","133.4","98.1","-1.3","194"
"","Rajasthan","8808","0","193.7","60.4","1.2","242"
"","Delhi","3755","0","77.3","61.8","0.2","205"
"","UP","13380","0","287.5","101.1","0.3","596"
"","Uttarakhand","1772","0","35.5","19.2","0.8","179"
"","HP","1274","0","25.0","14.7","1.0","201"
"","J&K","1830","457","34.5","29.4","-4.7","0"
"","Chandigarh","194","0","3.8","4.0","-0.2","18"
"WR","Chhattisgarh","3231","0","72.3","10.9","-2.9","112"
"","Gujarat","13291","23","294.6","68.5","-2.1","473"
"","MP","7945","0","168.4","100.4","-0.8","368"
"","Maharashtra","20339","0","428.6","130.5","1.6","432"
"","Goa","487","0","9.7","8.3","0.9","99"
"","DD","321","0","7.3","7.1","0.2","26"
"","DNH","777","0","17.8","17.9","-0.2","23"
"","Essar steel","386","0","6.6","7.1","-0.5","224"
"SR","Andhra Pradesh","7404","0","164.6","24.4","3.5","562"
"","Telangana","7512","0","159.0","77.0","1.0","294"
"","Karnataka","8903","600","203.9","70.9","7.8","713"
"","Kerala","3594","0","67.7","49.8","2.0","196"
"","Tamil Nadu","14441","0","314.0","145.9","2.4","621"
"","Pondy","338","0","7.0","7.0","0.0","47"
"ER","Bihar","3538","300","68.9","65.7","1.3","389"
"","DVC","2745","0","62.9","-32.0","-0.5","298"
"","Jharkhand","1100","0","22.9","15.8","1.3","135"
"","Odisha","3895","0","72.1","16.3","1.3","405"
"","West Bengal","7895","0","147.0","34.1","1.7","435"
"","Sikkim","90","0","1.5","1.5","0.0","20"
"NER","Arunachal Pradesh","111","4","2.2","2.0","0.2","32"
"","Assam","1511","0","26.9","19.7","2.5","178"
"","Manipur","118","4","2.1","1.9","0.2","26"
"","Meghalaya","255","10","4.8","1.9","0.7","62"
"","Mizoram","77","1","1.4","1.3","0.1","13"
"","Nagaland","102","3","2.0","1.7","0.2","30"
"","Tripura","279","0","4.8","4.0","0.8","84"
