"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6392","0","114.9","58.1","-0.2","172"
"","Haryana","6459","0","126.7","97.2","3.2","297"
"","Rajasthan","9929","0","208.4","71.3","2.6","374"
"","Delhi","3586","0","46.4","47.6","-1.1","165"
"","UP","12740","0","256.4","93.0","0.7","573"
"","Uttarakhand","1814","0","33.3","20.5","0.7","162"
"","HP","1479","0","28.9","18.7","0.4","124"
"","J&K","2043","511","50.9","36.3","0.8","180"
"","Chandigarh","193","0","3.1","3.4","-0.3","11"
"WR","Chhattisgarh","3429","0","80.6","24.7","1.3","843"
"","Gujarat","13147","0","288.0","79.9","2.7","400"
"","MP","9868","0","201.7","116.6","-3.0","609"
"","Maharashtra","20899","0","394.6","162.6","-8.5","816"
"","Goa","519","0","10.0","8.5","0.9","94"
"","DD","291","0","5.6","5.5","0.1","41"
"","DNH","718","0","16.5","16.9","-0.4","26"
"","Essar steel","754","0","9.8","9.1","0.7","157"
"SR","Andhra Pradesh","7447","0","166.2","11.4","3.0","619"
"","Telangana","8944","0","179.8","77.8","0.6","376"
"","Karnataka","10242","0","221.6","72.0","4.5","427"
"","Kerala","3393","100","68.8","49.6","1.7","279"
"","Tamil Nadu","13431","0","293.6","158.3","2.0","833"
"","Pondy","333","0","7.0","6.5","0.5","64"
"ER","Bihar","3554","0","62.9","59.8","0.7","385"
"","DVC","2825","0","60.9","-35.7","-2.8","305"
"","Jharkhand","1117","0","23.2","15.7","1.2","185"
"","Odisha","3836","0","75.1","20.8","-1.4","365"
"","West Bengal","7224","0","122.3","27.3","-1.7","402"
"","Sikkim","96","0","1.3","1.5","-0.3","20"
"NER","Arunachal Pradesh","108","2","1.8","1.9","-0.1","5"
"","Assam","1291","82","21.3","15.9","1.4","114"
"","Manipur","140","2","1.8","2.2","-0.4","18"
"","Meghalaya","295","0","5.5","4.2","-0.4","28"
"","Mizoram","71","1","1.3","1.3","0.0","7"
"","Nagaland","96","3","1.4","1.7","-0.5","7"
"","Tripura","205","0","3.8","1.9","0.5","54"
