"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5870","0","116.1","59.4","0.5","190"
"","Haryana","6380","0","127.3","92.3","-0.3","261"
"","Rajasthan","9599","0","204.9","60.1","2.6","330"
"","Delhi","3336","0","61.2","49.5","-0.2","170"
"","UP","13086","0","280.8","104.6","-1.1","303"
"","Uttarakhand","1752","0","31.8","17.0","-1.0","112"
"","HP","1375","0","29.2","19.1","1.9","189"
"","J&K","1914","479","40.0","35.2","-1.5","79"
"","Chandigarh","187","0","3.2","3.4","-0.1","17"
"WR","Chhattisgarh","3066","0","83.1","23.9","2.1","442"
"","Gujarat","13812","0","304.7","90.7","0.3","283"
"","MP","9942","6","198.1","121.8","-2.0","262"
"","Maharashtra","21573","0","464.8","158.3","-2.9","474"
"","Goa","457","0","9.7","8.6","0.5","29"
"","DD","309","0","7.0","6.7","0.3","60"
"","DNH","735","0","16.6","16.8","-0.2","10"
"","Essar steel","324","0","7.0","6.3","0.7","117"
"SR","Andhra Pradesh","7354","0","160.8","23.2","3.3","1081"
"","Telangana","8555","0","177.7","77.9","1.8","563"
"","Karnataka","9656","0","218.7","80.9","1.5","520"
"","Kerala","3616","0","70.2","56.7","2.2","288"
"","Tamil Nadu","13692","0","296.3","153.8","-4.8","677"
"","Pondy","321","0","6.5","6.9","-0.4","48"
"ER","Bihar","3523","0","56.0","53.9","2.2","200"
"","DVC","3143","0","63.7","-40.7","-0.1","250"
"","Jharkhand","1194","0","23.8","17.2","1.1","85"
"","Odisha","3920","0","76.7","18.6","1.3","225"
"","West Bengal","7477","0","125.7","27.3","0.8","250"
"","Sikkim","83","0","1.6","1.6","0.0","15"
"NER","Arunachal Pradesh","112","3","2.1","2.0","0.1","28"
"","Assam","1351","35","23.5","16.8","2.6","110"
"","Manipur","143","6","2.1","2.4","-0.3","15"
"","Meghalaya","297","0","5.5","4.3","-0.1","44"
"","Mizoram","77","1","1.4","1.3","0.1","14"
"","Nagaland","109","8","1.9","1.8","0.0","28"
"","Tripura","214","2","3.2","2.1","0.0","57"
