"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7289","0","163.3","94.0","0.8","242","0.1"
"","Haryana","7536","0","158.7","111.1","-0.9","212","0.0"
"","Rajasthan","9170","0","201.3","67.3","1.2","380","0.0"
"","Delhi","5692","0","116.0","97.8","-1.2","291","0.1"
"","UP","17243","0","316.6","128.4","0.7","357","0.0"
"","Uttarakhand","1912","0","39.3","20.9","-0.2","149","0.0"
"","HP","1236","0","25.7","5.6","2.7","217","0.1"
"","J&K","1935","484","41.2","16.8","1.0","95","9.7"
"","Chandigarh","305","0","5.9","6.3","-0.4","63","0.0"
"WR","Chhattisgarh","3581","0","83.8","17.4","-1.5","161","0.0"
"","Gujarat","15054","0","334.1","95.4","0.4","477","0.0"
"","MP","7796","0","168.2","81.8","0.5","797","0.0"
"","Maharashtra","21902","0","476.4","134.8","0.4","895","0.0"
"","Goa","505","0","10.3","9.0","0.8","113","0.0"
"","DD","325","0","7.3","6.7","0.6","74","0.0"
"","DNH","752","0","17.2","17.8","-0.6","-1","0.0"
"","Essar steel","431","0","8.2","7.8","0.5","202","0.0"
"SR","Andhra Pradesh","7227","0","159.0","51.1","1.0","586","0.0"
"","Telangana","7177","0","139.9","52.8","-3.4","405","0.0"
"","Karnataka","8372","0","179.8","72.7","3.8","517","0.0"
"","Kerala","3768","0","71.9","57.8","-0.1","586","0.0"
"","Tamil Nadu","14583","0","320.1","151.1","-0.1","405","0.0"
"","Pondy","367","0","7.5","7.8","-0.2","517","0.0"
"ER","Bihar","3817","0","53.0","56.2","-5.0","300","0.0"
"","DVC","2932","0","64.6","-40.4","2.5","470","0.0"
"","Jharkhand","2203","0","21.5","16.6","-1.5","135","0.0"
"","Odisha","3652","0","73.9","27.7","-1.0","220","0.0"
"","West Bengal","7585","0","141.9","30.8","3.4","285","0.0"
"","Sikkim","71","0","1.2","1.1","0.1","23","0.0"
"NER","Arunachal Pradesh","92","9","1.7","1.6","0.1","33","0.1"
"","Assam","1066","417","21.1","16.2","2.1","102","3.1"
"","Manipur","125","3","2.2","2.1","0.1","31","0.0"
"","Meghalaya","257","0","3.7","2.5","-0.3","46","0.0"
"","Mizoram","69","3","1.5","1.2","0.2","20","0.0"
"","Nagaland","109","3","1.9","1.8","-0.2","5","0.0"
"","Tripura","206","3","3.8","2.8","-0.3","83","0.1"
