"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6546","0","146.2","106.5","-0.7","189","0.0"
"","Haryana","6932","0","138.4","117.9","-0.5","202","0.0"
"","Rajasthan","8853","0","172.2","57.5","1.5","439","0.0"
"","Delhi","5231","0","103.9","90.0","-1.0","172","0.1"
"","UP","17005","450","354.9","151.5","1.2","399","0.0"
"","Uttarakhand","1793","0","39.4","17.9","0.1","102","0.0"
"","HP","1261","0","25.9","2.4","2.5","250","0.0"
"","J&K","2056","514","37.3","14.4","-0.1","220","8.8"
"","Chandigarh","280","0","5.5","6.1","-0.6","5","0.0"
"WR","Chhattisgarh","3338","0","76.9","12.3","0.3","229","0.0"
"","Gujarat","15507","0","336.1","73.1","0.6","862","0.0"
"","MP","7658","0","159.3","86.7","-0.4","640","0.0"
"","Maharashtra","21073","0","460.3","137.8","5.9","594","0.0"
"","Goa","473","0","10.3","8.3","1.8","68","0.0"
"","DD","308","0","7.0","6.3","0.7","66","0.0"
"","DNH","698","0","16.0","16.3","-0.2","15","0.0"
"","Essar steel","363","0","7.4","7.3","0.2","156","0.0"
"SR","Andhra Pradesh","7304","0","165.2","61.8","6.7","1009","0.0"
"","Telangana","7028","0","148.4","66.0","-4.8","245","0.0"
"","Karnataka","8515","0","183.9","72.6","6.5","476","0.0"
"","Kerala","3391","0","64.1","50.9","1.4","233","0.0"
"","Tamil Nadu","14209","0","322.6","122.1","2.8","791","0.0"
"","Pondy","364","0","7.9","8.1","-0.2","35","0.0"
"ER","Bihar","4125","100","79.9","75.6","-0.2","425","0.8"
"","DVC","2832","0","65.5","-41.6","-1.4","345","0.0"
"","Jharkhand","978","0","21.3","17.3","-0.9","225","0.0"
"","Odisha","4090","0","79.9","21.3","0.5","398","0.0"
"","West Bengal","7578","0","140.3","43.2","1.3","456","0.0"
"","Sikkim","65","0","1.2","1.9","-0.8","20","0.0"
"NER","Arunachal Pradesh","118","0","1.8","3.0","-1.2","8","0.0"
"","Assam","1535","75","24.6","16.9","2.5","168","1.1"
"","Manipur","131","1","2.2","1.7","0.5","12","0.0"
"","Meghalaya","220","0","3.4","1.9","-0.6","18","0.0"
"","Mizoram","71","1","1.1","1.1","0.0","12","0.0"
"","Nagaland","109","9","2.0","2.0","-0.1","16","0.1"
"","Tripura","170","17","3.3","2.6","-0.6","11","0.2"
