"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10696","0","236.8","138.7","0.1","177","0.0"
"","Haryana","8773","21","181.0","128.8","2.0","387","2.7"
"","Rajasthan","9093","97","197.5","80.8","3.5","491","1.5"
"","Delhi","5929","0","118.2","100.9","-0.7","210","0.0"
"","UP","17690","0","384.5","168.6","4.6","562","3.2"
"","Uttarakhand","1866","0","39.1","13.6","-0.8","113","0.2"
"","HP","1287","0","27.0","-0.5","3.2","269","0.0"
"","J&K","2133","533","44.2","18.2","-0.1","394","10.4"
"","Chandigarh","294","0","6.0","6.4","-0.3","5","0.0"
"WR","Chhattisgarh","3131","0","70.5","11.5","0.4","484","0.0"
"","Gujarat","13516","0","281.0","77.0","-0.1","1168","0.0"
"","MP","6589","0","149.9","106.1","-2.7","538","0.0"
"","Maharashtra","16985","0","380.9","104.8","3.9","518","0.0"
"","Goa","409","0","8.8","8.0","0.4","98","0.0"
"","DD","290","0","6.4","6.0","0.4","22","0.0"
"","DNH","720","0","16.4","16.8","-0.5","-31","0.0"
"","Essar steel","172","0","1.8","0.8","1.0","235","0.0"
"SR","Andhra Pradesh","5881","0","134.7","18.4","3.5","704","0.0"
"","Telangana","5914","0","127.9","53.3","-0.7","464","0.0"
"","Karnataka","7017","0","150.4","53.5","2.8","448","0.0"
"","Kerala","2906","0","55.0","41.4","1.0","281","0.0"
"","Tamil Nadu","12667","0","285.7","113.7","-2.1","843","0.0"
"","Pondy","334","0","7.0","7.4","-0.4","20","0.0"
"ER","Bihar","4198","0","84.0","81.4","0.9","260","0.0"
"","DVC","2879","0","65.1","-34.7","-0.6","100","0.0"
"","Jharkhand","1030","0","22.8","16.8","-0.1","150","0.0"
"","Odisha","3812","0","75.0","13.1","1.5","421","0.0"
"","West Bengal","7233","0","137.0","41.7","0.8","265","0.0"
"","Sikkim","69","0","1.2","1.2","0.0","7","0.0"
"NER","Arunachal Pradesh","72","2","2.1","2.1","0.0","6","0.0"
"","Assam","1507","85","29.8","20.6","2.8","186","1.0"
"","Manipur","143","2","2.4","2.1","0.3","7","0.0"
"","Meghalaya","236","0","4.8","0.8","-0.8","138","0.0"
"","Mizoram","65","2","1.1","1.0","0.1","18","0.0"
"","Nagaland","122","4","2.4","2.2","-0.1","26","0.0"
"","Tripura","252","2","4.3","2.4","0.0","103","0.0"
