"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10398","0","237.6","141.2","-0.6","149","0.0"
"","Haryana","8847","42","184.4","135.2","0.1","380","0.9"
"","Rajasthan","8977","68","199.9","81.0","2.7","287","2.4"
"","Delhi","5676","0","107.8","88.1","0.2","286","0.0"
"","UP","16650","290","344.8","156.5","0.4","937","0.0"
"","Uttarakhand","1787","0","36.9","8.6","0.9","243","0.0"
"","HP","1314","0","27.6","-1.9","3.3","221","0.0"
"","J&K","1957","489","38.0","19.2","-4.0","47","9.0"
"","Chandigarh","295","0","6.0","6.6","-0.6","0","0.0"
"WR","Chhattisgarh","3506","0","84.3","16.0","0.5","218","0.0"
"","Gujarat","11992","0","265.8","58.6","-2.0","343","0.0"
"","MP","7347","0","163.0","96.0","5.2","824","0.0"
"","Maharashtra","18935","0","425.5","125.9","3.7","410","0.0"
"","Goa","411","0","9.0","8.1","0.2","19","0.0"
"","DD","296","0","6.7","6.2","0.5","51","0.0"
"","DNH","720","0","16.3","16.0","0.3","44","0.0"
"","Essar steel","390","0","8.2","8.6","-0.4","148","0.0"
"SR","Andhra Pradesh","6628","0","149","48","7","810","0.0"
"","Telangana","6805","0","145","90","-2","297","0.0"
"","Karnataka","8360","0","181","82","2","548","0.0"
"","Kerala","3231","0","63","46","1","197","0.0"
"","Tamil Nadu","13453","0","301","129","1","697","0.0"
"","Pondy","337","0","7","7","0","41","0.0"
"ER","Bihar","4082","0","78.8","76.6","0.5","225","0.0"
"","DVC","2850","0","64.1","-41.6","-0.6","220","0.6"
"","Jharkhand","1078","0","23.2","17.4","0.0","85","0.0"
"","Odisha","4074","0","77.5","28.3","0.1","220","0.0"
"","West Bengal","7955","0","145.2","38.8","0.1","250","0.0"
"","Sikkim","62","0","1.1","1.5","-0.4","15","0.0"
"NER","Arunachal Pradesh","106","1","2.1","2.5","-0.4","6","0.0"
"","Assam","1557","99","29.4","22.3","3.5","116","1.3"
"","Manipur","123","2","1.9","1.8","0.0","7","0.0"
"","Meghalaya","258","0","4.5","-1.4","-0.2","35","0.0"
"","Mizoram","74","1","1.3","0.9","0.3","23","0.0"
"","Nagaland","105","0","2.0","2.0","0.0","18","0.0"
"","Tripura","227","23","4.1","2.5","-0.2","23","0.2"
