"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5533","0","108.0","24.7","-0.1","133","0.0"
"","Haryana","6778","91","125.1","69.2","2.1","251","1.3"
"","Rajasthan","10842","229","212.4","66.8","1.3","301","2.6"
"","Delhi","4421","0","72.0","57.5","0.5","353","0.0"
"","UP","14007","720","292.6","105.8","1.3","741","3.0"
"","Uttarakhand","2136","0","38.0","28.0","0.2","156","0.0"
"","HP","1561","0","28.0","22.4","1.1","136","0.0"
"","J&K","2202","551","46.5","43.5","-1.7","78","11.0"
"","Chandigarh","237","0","3.8","3.7","0.2","64","0.0"
"WR","Chhattisgarh","3415","0","72.0","16.2","-0.9","344","0.0"
"","Gujarat","14291","0","301.4","92.0","4.1","820","0.0"
"","MP","11942","0","225.7","139.0","-2.3","241","0.0"
"","Maharashtra","20002","0","406.8","118.8","1.7","640","0.0"
"","Goa","463","0","9.3","8.8","0.0","35","0.0"
"","DD","317","0","7.1","6.7","0.4","77","0.0"
"","DNH","740","0","17.4","16.7","0.7","59","0.0"
"","Essar steel","445","0","9.4","9.3","0.1","183","0.0"
"SR","Andhra Pradesh","8254","0","163.3","61.0","-0.6","356","0.3"
"","Telangana","9384","0","183.1","102.0","-4.2","357","0.3"
"","Karnataka","10279","0","210.1","92.4","1.1","325","0.4"
"","Kerala","3457","0","66.0","53.8","0.3","206","0.2"
"","Tamil Nadu","14236","0","301.4","160.6","2.9","401","0.6"
"","Pondy","322","0","6.3","7.0","-0.8","30","0.0"
"ER","Bihar","4007","0","69.0","63.4","-0.8","200","0.0"
"","DVC","2909","0","68.8","-28.4","-1.4","150","0.0"
"","Jharkhand","990","0","21.3","13.3","0.3","50","0.0"
"","Odisha","4055","0","67.5","22.7","1.7","350","0.0"
"","West Bengal","5662","0","98.5","6.6","0.1","200","0.0"
"","Sikkim","128","0","2.0","1.2","0.8","40","0.0"
"NER","Arunachal Pradesh","120","10","2.2","1.7","0.5","56","0.0"
"","Assam","1400","15","21.4","17.0","0.9","172","1.5"
"","Manipur","160","19","2.8","2.8","0.0","23","0.0"
"","Meghalaya","299","1","6.4","3.9","-0.1","45","0.0"
"","Mizoram","90","4","1.8","0.8","0.3","26","0.0"
"","Nagaland","118","3","2.2","1.6","0.5","21","0.0"
"","Tripura","215","5","3.4","1.3","0.3","29","0.0"
