"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5198","0","101.2","16.4","-0.1","140","0.0"
"","Haryana","6610","0","115.5","56.2","1.8","248","0.2"
"","Rajasthan","10666","618","209.1","70.9","3.5","462","4.5"
"","Delhi","4030","0","67.4","52.9","-0.1","259","0.0"
"","UP","13871","0","295.9","106.1","1.2","1030","0.0"
"","Uttarakhand","2048","0","37.5","29.1","0.6","195","0.0"
"","HP","1492","0","26.7","22.1","0.8","228","0.0"
"","J&K","2229","557","46.7","42.6","0.3","124","11.0"
"","Chandigarh","242","0","3.7","3.4","0.2","54","0.0"
"WR","Chhattisgarh","3320","0","74.1","6.1","-1.8","144","0.0"
"","Gujarat","14143","0","297.1","135.5","1.7","526","0.0"
"","MP","11391","0","213.4","126.1","-2.6","289","0.0"
"","Maharashtra","20567","0","417.7","131.8","2.7","379","0.0"
"","Goa","473","0","9.6","8.5","0.5","51","0.0"
"","DD","327","0","7.3","6.7","0.6","63","0.0"
"","DNH","769","0","17.5","16.5","1.0","79","0.0"
"","Essar steel","520","0","10.1","10.0","0.1","159","0.0"
"SR","Andhra Pradesh","8474","0","166.8","45.3","-1.7","377","0.1"
"","Telangana","8948","0","176.7","69.1","-1.2","380","0.1"
"","Karnataka","9865","0","207.6","89.6","-1.7","549","0.2"
"","Kerala","3529","0","66.5","50.5","1.5","268","0.1"
"","Tamil Nadu","13695","0","281.2","150.3","1.3","518","0.3"
"","Pondy","316","0","6.3","6.9","-0.5","33","0.0"
"ER","Bihar","4424","0","69.2","62.5","-1.6","194","0.0"
"","DVC","3172","0","69.1","-37.7","-1.0","145","0.0"
"","Jharkhand","1088","0","23.8","14.0","-0.4","71","0.0"
"","Odisha","4112","0","77.5","24.8","-2.2","310","0.0"
"","West Bengal","6016","0","105.9","19.7","2.5","374","0.0"
"","Sikkim","107","0","1.9","1.8","0.1","15","0.0"
"NER","Arunachal Pradesh","120","4","1.9","1.8","0.1","35","0.0"
"","Assam","1427","4","22.2","18.6","1.6","154","0.6"
"","Manipur","184","3","2.6","2.7","-0.1","14","0.0"
"","Meghalaya","316","0","5.5","3.1","-0.1","47","0.0"
"","Mizoram","87","4","1.7","0.7","0.3","31","0.0"
"","Nagaland","112","2","2.0","1.6","0.3","41","0.0"
"","Tripura","226","1","3.6","1.0","1.0","62","0.0"
