"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5485","0","118.5","45.3","-0.4","119","0.0"
"","Haryana","6877","0","129.0","68.4","1.7","222","0.1"
"","Rajasthan","10371","2150","203.4","73.1","5.5","498","8.0"
"","Delhi","3707","0","65.5","51.5","0.5","231","0.0"
"","UP","14768","410","297.9","102.2","0.4","809","0.0"
"","Uttarakhand","1968","0","35.1","27.7","0.0","125","0.0"
"","HP","1528","0","27.3","22.0","1.7","332","0.3"
"","J&K","2386","596","45.5","42.6","-0.7","313","10.7"
"","Chandigarh","209","0","3.4","3.0","0.3","36","0.0"
"WR","Chhattisgarh","3396","0","75.4","13.8","-0.8","39","0.0"
"","Gujarat","13990","0","298.8","125.6","1.7","729","0.0"
"","MP","9519","0","207.2","104.1","-2.5","301","0.0"
"","Maharashtra","20658","0","427.7","132.3","-1.6","280","0.0"
"","Goa","400","0","9.5","8.5","0.4","60","0.0"
"","DD","330","0","7.4","6.9","0.5","55","0.0"
"","DNH","760","0","17.8","16.7","1.1","82","0.0"
"","Essar steel","512","0","10.6","10.7","-0.1","126","0.0"
"SR","Andhra Pradesh","8166","0","167.8","59.8","4.5","1027","0.0"
"","Telangana","9410","0","182.7","73.1","-1.3","388","0.0"
"","Karnataka","9755","0","206.9","96.1","-1.0","574","0.0"
"","Kerala","3417","0","69.4","56.1","1.3","215","0.0"
"","Tamil Nadu","13372","0","273.6","163.7","-0.7","465","0.0"
"","Pondy","329","0","6.9","7.3","-0.4","35","0.0"
"ER","Bihar","3990","0","66.7","63.3","-2.8","250","0.0"
"","DVC","3003","0","68.0","-40.2","-2.1","150","0.0"
"","Jharkhand","1211","0","23.9","14.6","-0.2","50","0.0"
"","Odisha","4360","0","82.8","31.5","4.3","500","0.0"
"","West Bengal","6613","0","118.5","20.8","-0.1","160","0.0"
"","Sikkim","107","0","1.6","1.4","0.1","25","0.0"
"NER","Arunachal Pradesh","122","2","2.3","2.0","0.3","44","0.0"
"","Assam","1424","11","23.3","20.4","0.4","104","0.3"
"","Manipur","176","11","2.6","2.9","-0.3","17","0.0"
"","Meghalaya","299","11","5.1","4.5","-0.5","38","0.0"
"","Mizoram","91","1","1.7","1.0","-0.1","24","0.0"
"","Nagaland","115","5","2.1","2.1","-0.2","40","0.0"
"","Tripura","225","3","4.0","2.4","0.4","43","0.0"
