"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","4757","0","86.0","23.9","-1.6","173","0.0"
"","Haryana","5885","113","103.5","60.0","1.3","422","0.9"
"","Rajasthan","11081","0","218.4","70.6","2.2","439","0.0"
"","Delhi","3695","0","63.7","51.5","-1.4","161","0.0"
"","UP","13545","90","255.4","89.4","1.5","667","0.0"
"","Uttarakhand","1933","0","33.0","26.1","-0.1","109","0.0"
"","HP","1386","0","25.4","22.4","-0.9","123","0.0"
"","J&K","1706","427","31.4","37.3","-8.9","50","7.3"
"","Chandigarh","191","0","3.3","3.3","0.1","29","0.0"
"WR","Chhattisgarh","3094","0","61.9","-2.9","-2.1","119","0.0"
"","Gujarat","13638","0","294.8","129.5","6.1","494","0.0"
"","MP","8270","0","161.7","79.7","-1.2","410","0.0"
"","Maharashtra","19644","0","395.2","118.8","-0.7","539","0.0"
"","Goa","395","0","9.1","8.3","0.1","63","0.0"
"","DD","324","0","7.0","6.9","0.1","77","0.0"
"","DNH","761","0","17.6","17.1","0.5","60","0.0"
"","Essar steel","597","0","11.3","12.4","-1.1","201","0.0"
"SR","Andhra Pradesh","8429","0","172.4","47.7","-0.5","475","0.1"
"","Telangana","9170","0","186.0","82.7","0.4","448","0.1"
"","Karnataka","9706","0","206.9","96.2","-1.4","499","0.1"
"","Kerala","3587","0","70.4","54.0","1.7","282","0.0"
"","Tamil Nadu","14384","0","285.2","165.4","0.4","481","0.2"
"","Pondy","337","0","6.6","7.1","-0.6","39","0.0"
"ER","Bihar","4027","0","66.6","63.5","-3.4","445","0.0"
"","DVC","2914","0","69.4","-40.0","-2.0","425","0.0"
"","Jharkhand","1105","0","23.7","16.4","1.4","135","0.0"
"","Odisha","4400","0","79.2","37.7","3.1","365","0.0"
"","West Bengal","6503","0","116.8","14.6","2.9","405","0.0"
"","Sikkim","110","0","1.8","1.5","0.2","20","0.0"
"NER","Arunachal Pradesh","128","4","2.2","1.7","0.5","44","0.0"
"","Assam","1402","22","22.9","19.9","0.3","104","0.2"
"","Manipur","185","3","2.7","2.7","-0.1","17","0.0"
"","Meghalaya","289","0","5.3","3.5","-0.1","38","0.0"
"","Mizoram","88","4","1.5","0.8","0.0","24","0.0"
"","Nagaland","119","6","2.0","1.8","0.1","40","0.0"
"","Tripura","224","2","3.3","1.9","0.0","43","0.0"
