"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7410","0","164.8","75.1","-2.2","415","0.0"
"","Haryana","6868","50","139.0","74.1","1.4","374","14.9"
"","Rajasthan","10099","0","221.6","68.5","1.6","350","2.4"
"","Delhi","5448","0","108.8","84.3","-1.4","161","0.0"
"","UP","17535","390","386.4","167.5","1.2","715","0.0"
"","Uttarakhand","1965","0","42.9","22.1","3.2","314","0.6"
"","HP","1384","0","27.1","11.9","3.4","307","0.0"
"","J&K","2130","533","35.6","25.2","-6.9","165","8.5"
"","Chandigarh","259","0","5.2","4.6","0.6","85","0.0"
"WR","Chhattisgarh","3669","0","84.3","13.0","-0.1","150","0.0"
"","Gujarat","16407","0","358.6","124.7","6.3","597","0.0"
"","MP","8758","0","196.7","108.9","1.8","256","0.0"
"","Maharashtra","22387","0","496.0","144.3","1.7","638","0.0"
"","Goa","486","0","10.7","9.2","1.0","135","0.0"
"","DD","335","0","7.4","5.7","1.7","144","0.0"
"","DNH","758","0","17.7","16.5","1.3","90","0.0"
"","Essar steel","297","0","5.3","5.4","-0.1","144","0.0"
"SR","Andhra Pradesh","8673","0","179.8","61.8","-2.0","823","0.0"
"","Telangana","6983","0","149.4","51.1","-1.4","411","0.0"
"","Karnataka","8501","0","183.7","56.6","-4.0","394","0.0"
"","Kerala","3636","0","73.1","45.0","1.2","232","0.0"
"","Tamil Nadu","13922","0","312.0","154.8","0.5","705","0.0"
"","Pondy","389","0","8.4","8.6","-0.2","48","0.0"
"ER","Bihar","4850","0","86.9","83.1","1.3","0","0.0"
"","DVC","2946","0","65.6","-43.9","1.3","0","0.0"
"","Jharkhand","1362","0","27.0","19.3","-0.4","0","0.0"
"","Odisha","4595","0","85.2","32.1","-0.2","0","0.0"
"","West Bengal","8508","0","156.8","51.5","1.5","0","0.0"
"","Sikkim","88","0","1.2","1.7","-0.4","0","0.0"
"NER","Arunachal Pradesh","106","0","1.7","1.9","-0.2","44","0.0"
"","Assam","1536","110","26.8","21.1","1.5","206","1.0"
"","Manipur","166","2","2.1","2.2","-0.2","30","0.0"
"","Meghalaya","289","0","5.5","3.2","-0.2","35","0.0"
"","Mizoram","84","2","1.5","1.1","-0.1","6","0.0"
"","Nagaland","104","0","2.0","1.9","0.1","41","0.0"
"","Tripura","220","2","3.6","3.0","-0.1","38","0.0"
