"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5715","0","128.4","42.5","-0.3","154","0.0"
"","Haryana","6424","0","123.0","87.5","0.9","303","0.2"
"","Rajasthan","11049","0","224.7","50.9","4.1","605","0.0"
"","Delhi","3582","0","69.7","50.9","0.1","225","0.0"
"","UP","13567","0","285.8","117.1","-0.6","184","0.0"
"","Uttarakhand","1943","0","35.1","15.2","0.5","224","0.0"
"","HP","1429","0","25.8","13.6","1.4","146","0.8"
"","J&K","1586","397","32.7","35.8","-10.6","487","9.0"
"","Chandigarh","175","0","3.2","3.2","0.1","37","0.0"
"WR","Chhattisgarh","4088","0","87.4","29.8","0.8","658","0.0"
"","Gujarat","16357","0","360.7","129.3","8.9","1034","0.0"
"","MP","12018","0","252.7","143.0","-1.1","355","0.0"
"","Maharashtra","23198","0","489.3","172.2","-2.1","631","0.0"
"","Goa","416","0","9.2","9.6","-1.0","63","0.1"
"","DD","326","0","7.2","6.3","0.9","117","0.0"
"","DNH","695","0","16.0","15.2","0.8","107","0.0"
"","Essar steel","485","0","6.7","6.3","0.4","246","0.0"
"SR","Andhra Pradesh","9036","0","194.1","62.9","5.5","1009","0.0"
"","Telangana","9602","0","200.4","82.1","1.3","771","0.0"
"","Karnataka","9852","0","209.0","40.5","2.6","601","0.0"
"","Kerala","3534","0","70.2","39.9","1.2","268","0.0"
"","Tamil Nadu","13572","0","300.2","152.0","4.4","1048","0.0"
"","Pondy","352","0","7.0","7.2","-0.2","35","0.0"
"ER","Bihar","4485","100","77.4","73.1","1.8","100","0.3"
"","DVC","2975","150","63.7","23.2","4.0","230","0.5"
"","Jharkhand","1002","50","22.9","16.0","0.4","120","0.2"
"","Odisha","4931","0","94.9","35.5","2.2","150","0.0"
"","West Bengal","6993","0","122.0","33.6","3.0","350","0.0"
"","Sikkim","95","0","1.3","1.3","0.0","30","0.0"
"NER","Arunachal Pradesh","108","4","2.0","2.1","-0.1","14","0.0"
"","Assam","1523","45","24.1","20.0","-0.5","45","0.9"
"","Manipur","172","4","2.3","2.5","-0.2","29","0.0"
"","Meghalaya","329","0","5.4","2.9","-0.1","24","0.0"
"","Mizoram","83","3","1.8","1.1","0.3","12","0.0"
"","Nagaland","114","4","2.2","1.5","0.3","23","0.0"
"","Tripura","225","2","4.5","2.4","0.1","21","0.1"
