"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5508","0","109.2","27.5","-0.6","66","0.0"
"","Haryana","6444","0","123.4","54.8","1.2","248","0.0"
"","Rajasthan","12538","435","238.3","65.0","2.1","572","0.0"
"","Delhi","4336","0","69.6","52.3","-0.4","182","0.0"
"","UP","14437","0","295.0","107.7","0.0","210","1.5"
"","Uttarakhand","2111","0","37.4","22.3","0.4","172","0.0"
"","HP","1630","0","30.4","24.7","0.1","341","0.0"
"","J&K","2486","621","51.6","45.2","1.4","359","12.3"
"","Chandigarh","240","0","3.8","3.5","0.3","67","0.0"
"WR","Chhattisgarh","3403","0","75.9","24.1","-0.1","232","0.3"
"","Gujarat","14710","0","312.4","88.0","1.9","624","0.0"
"","MP","14002","0","257.8","145.6","-0.1","545","0.0"
"","Maharashtra","19364","0","385.7","91.1","0.1","496","0.0"
"","Goa","462","0","9.0","8.8","-0.4","21","0.0"
"","DD","257","0","5.8","5.8","-0.1","54","0.0"
"","DNH","669","0","15.6","15.7","-0.1","33","0.0"
"","Essar steel","535","0","10.9","10.2","0.7","302","0.0"
"SR","Andhra Pradesh","7915","0","155.6","56.1","-1.3","486","0.0"
"","Telangana","8776","0","178.6","86.1","0.4","412","0.0"
"","Karnataka","10675","0","199.3","67.2","-1.1","459","0.0"
"","Kerala","3501","0","68.1","59.8","0.1","194","0.0"
"","Tamil Nadu","13140","0","270.0","128.8","-0.4","490","0.0"
"","Pondy","339","0","6.8","7.1","-0.3","27","0.0"
"ER","Bihar","4139","0","77.6","71.9","0.4","460","0.0"
"","DVC","3101","0","66.4","-26.7","0.3","396","0.0"
"","Jharkhand","1091","67","25.2","18.9","0.9","169","0.2"
"","Odisha","3832","0","70.5","24.7","0.4","267","0.3"
"","West Bengal","5863","0","104.7","21.9","-0.4","309","0.0"
"","Sikkim","91","0","1.3","1.8","-0.5","18","0.0"
"NER","Arunachal Pradesh","121","0","2.3","1.8","0.5","65","0.0"
"","Assam","1321","0","23.2","17.3","1.6","124","0.2"
"","Manipur","197","0","2.7","3.0","-0.2","24","0.0"
"","Meghalaya","325","0","6.6","6.3","-0.1","40","0.0"
"","Mizoram","88","0","1.6","1.4","-0.3","7","0.0"
"","Nagaland","119","0","2.1","2.0","-0.1","18","0.0"
"","Tripura","224","0","3.5","1.3","0.2","59","0.0"
