"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6131","0","126.9","49.4","-2.0","104","0.0"
"","Haryana","5904","0","124.6","73.3","0.4","188","0.0"
"","Rajasthan","10299","0","215.4","58.4","0.2","213","0.0"
"","Delhi","3409","0","65.9","54.2","-0.4","159","0.0"
"","UP","14527","0","297.6","132.3","-0.2","229","0.0"
"","Uttarakhand","1755","0","35.8","17.1","0.1","149","0.0"
"","HP","1503","0","26.7","16.3","0.1","94","0.0"
"","J&K","2178","545","46.1","37.6","-0.8","223","10.9"
"","Chandigarh","185","0","3.2","3.3","-0.2","8","0.0"
"WR","Chhattisgarh","4283","0","98.1","36.8","-1.8","776","0.0"
"","Gujarat","15927","0","357.6","110.6","1.9","805","0.0"
"","MP","9807","0","203.1","75.0","-0.6","608","0.0"
"","Maharashtra","22106","0","489.6","154.7","-0.8","648","0.0"
"","Goa","502","0","12.4","11.0","0.9","121","0.0"
"","DD","329","0","7.5","7.1","0.4","91","0.0"
"","DNH","789","0","18.4","18.4","-0.1","107","0.0"
"","Essar steel","608","0","11.7","13.3","-1.6","217","0.0"
"SR","Andhra Pradesh","8925","0","198.1","66.7","0.0","625","0.0"
"","Telangana","10194","0","226.8","97.3","0.0","450","0.0"
"","Karnataka","12452","0","256.3","89.9","1.9","854","0.0"
"","Kerala","4242","0","86.4","58.6","1.0","311","0.0"
"","Tamil Nadu","15536","0","350.1","201.0","-0.2","540","0.0"
"","Pondy","406","0","8.4","8.4","-0.1","49","0.0"
"ER","Bihar","4203","0","72.8","68.8","-0.5","460","0.0"
"","DVC","3213","0","67.6","-50.7","-0.3","396","0.0"
"","Jharkhand","1185","0","23.9","18.6","-0.4","169","0.0"
"","Odisha","4882","0","98.7","38.1","2.1","267","0.0"
"","West Bengal","7924","0","145.8","39.0","-0.4","309","0.0"
"","Sikkim","94","0","1.5","1.5","-0.1","18","0.0"
"NER","Arunachal Pradesh","114","3","2.0","2.1","-0.1","41","0.0"
"","Assam","1338","141","22.7","18.5","0.9","116","2.2"
"","Manipur","170","2","2.4","2.1","0.2","54","0.0"
"","Meghalaya","339","0","5.6","4.9","-0.2","69","0.0"
"","Mizoram","94","2","1.9","1.2","0.5","39","0.0"
"","Nagaland","121","4","2.1","1.8","0.2","21","0.0"
"","Tripura","218","6","3.8","2.7","0.0","41","0.0"
