"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7073","0","161.7","79.3","-1.9","62","0.0"
"","Haryana","7750","0","164.4","116.4","-1.6","200","0.0"
"","Rajasthan","11143","25","240.3","78.1","-0.4","716","0.0"
"","Delhi","5642","0","114.5","97.0","0.6","285","0.0"
"","UP","20076","170","442.0","198.1","0.3","583","0.0"
"","Uttarakhand","2141","0","47.2","22.0","0.9","107","0.0"
"","HP","1408","0","29.4","5.7","1.7","206","0.0"
"","J&K","2293","573","48.7","28.6","0.2","280","11.5"
"","Chandigarh","240","0","5.2","6.2","-1.0","-15","0.0"
"WR","Chhattisgarh","4045","0","92.3","40.6","-2.4","381","0.0"
"","Gujarat","17718","0","391.1","86.3","4.4","809","0.0"
"","MP","9967","0","227.8","113.9","0.0","470","0.0"
"","Maharashtra","23613","0","522.1","123.0","-0.5","603","0.0"
"","Goa","541","0","12.4","11.6","0.2","39","0.0"
"","DD","338","0","7.5","7.1","0.4","36","0.0"
"","DNH","747","0","18.1","18.2","-0.2","60","0.0"
"","Essar steel","264","0","4.1","3.3","0.9","296","0.0"
"SR","Andhra Pradesh","9550","0","202.5","65.0","0.6","952","0.0"
"","Telangana","8241","0","175.1","51.5","-0.5","501","0.0"
"","Karnataka","11973","0","218.9","70.8","0.2","641","0.0"
"","Kerala","3948","0","89.4","62.7","1.2","259","0.0"
"","Tamil Nadu","15767","0","365.3","189.0","-0.4","732","0.0"
"","Pondy","430","0","9.3","9.4","-0.1","47","0.0"
"ER","Bihar","5113","0","96.5","91.6","1.0","150","0.0"
"","DVC","3131","0","68.3","-50.3","0.0","100","0.0"
"","Jharkhand","1106","0","25.2","17.7","-0.6","300","0.0"
"","Odisha","4343","0","94.3","28.9","0.4","250","0.0"
"","West Bengal","9076","0","172.7","61.6","-1.2","225","0.0"
"","Sikkim","85","0","1.1","1.2","-0.2","25","0.0"
"NER","Arunachal Pradesh","106","2","2.1","2.8","-0.7","43","0.0"
"","Assam","1473","66","25.5","21.1","0.8","147","2.5"
"","Manipur","169","2","2.4","2.0","0.3","61","0.0"
"","Meghalaya","298","0","5.2","2.6","0.1","35","0.3"
"","Mizoram","89","3","1.8","1.4","0.3","30","0.0"
"","Nagaland","122","3","2.2","2.2","0.0","27","0.0"
"","Tripura","278","0","4.7","4.5","0.1","42","0.0"
