"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8640","0","188.8","86.4","-1.5","69","0.0"
"","Haryana","8790","63","189.1","121.3","0.8","279","0.2"
"","Rajasthan","11528","0","255.7","67.5","1.7","578","0.0"
"","Delhi","6371","0","131.6","110.7","-0.3","255","0.0"
"","UP","20903","560","445.2","198.7","0.6","582","4.5"
"","Uttarakhand","2155","0","47.8","23.5","-0.3","134","0.0"
"","HP","1457","0","30.5","6.0","0.6","239","0.0"
"","J&K","2195","549","47.4","27.1","-0.5","220","11.2"
"","Chandigarh","327","0","6.2","7.3","-1.1","0","0.0"
"WR","Chhattisgarh","3811","0","86.2","38.7","-3.4","393","0.0"
"","Gujarat","18094","0","392.8","98.3","9.1","748","0.0"
"","MP","9893","0","226.6","104.4","0.0","488","0.0"
"","Maharashtra","22294","0","505.9","133.1","-0.9","846","0.0"
"","Goa","541","0","12.3","11.5","0.2","21","0.0"
"","DD","332","0","7.4","7.1","0.3","26","0.0"
"","DNH","736","0","16.5","16.3","0.1","94","0.0"
"","Essar steel","328","0","5.7","5.7","0.0","340","0.0"
"SR","Andhra Pradesh","9500","0","196.3","67.8","0.5","518","0.0"
"","Telangana","8568","0","181.2","59.8","0.5","420","0.0"
"","Karnataka","10905","0","212.7","56.1","-0.4","712","0.0"
"","Kerala","3856","0","84.1","59.8","1.6","393","0.0"
"","Tamil Nadu","15352","0","343.0","160.4","-0.3","555","0.0"
"","Pondy","429","0","9.2","9.4","-0.2","40","0.0"
"ER","Bihar","4831","0","80.5","76.8","-0.4","200","0.0"
"","DVC","3003","0","66.0","-37.4","0.0","250","0.0"
"","Jharkhand","1000","0","24.8","16.1","-0.8","100","0.0"
"","Odisha","4779","0","96.6","45.6","0.1","400","0.0"
"","West Bengal","8329","0","175.9","56.6","-0.3","500","0.0"
"","Sikkim","91","0","1.2","1.3","-0.1","20","0.0"
"NER","Arunachal Pradesh","104","3","2.1","2.2","-0.2","16","0.0"
"","Assam","1507","36","26.7","22.0","0.7","145","0.6"
"","Manipur","153","4","2.4","2.2","0.2","24","0.0"
"","Meghalaya","306","0","4.9","2.8","0.1","51","0.3"
"","Mizoram","85","2","1.7","1.3","0.3","17","0.0"
"","Nagaland","118","2","2.1","2.2","-0.1","15","0.0"
"","Tripura","263","2","4.8","4.6","-0.3","50","0.0"
