"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9341","0","174.4","123.2","-5.3","34","0.0"
"","Haryana","9636","0","192.3","148.6","-0.3","324","1.0"
"","Rajasthan","11514","0","247.6","61.2","-0.4","381","0.0"
"","Delhi","6486","0","125.5","106.1","-0.1","250","5.3"
"","UP","19087","0","370.5","169.9","1.0","501","0.0"
"","Uttarakhand","1608","0","34.4","11.9","-2.2","83","0.0"
"","HP","1213","0","25.3","-3.4","-1.8","7","0.0"
"","J&K","1957","489","40.7","17.0","1.8","311","9.7"
"","Chandigarh","193","0","3.7","5.4","-1.7","-14","0.0"
"WR","Chhattisgarh","4421","0","102.8","35.7","0.2","369","0.0"
"","Gujarat","15223","0","346.8","58.1","4.0","565","0.0"
"","MP","8826","0","193.3","88.4","0.0","315","0.0"
"","Maharashtra","17698","0","404.8","103.2","-0.2","543","0.0"
"","Goa","541","0","11.6","10.1","0.9","60","0.0"
"","DD","312","0","7.1","6.7","0.4","45","0.0"
"","DNH","776","0","18.4","18.6","-0.2","23","0.0"
"","Essar steel","340","0","6.2","6.1","0.1","348","0.0"
"SR","Andhra Pradesh","7970","0","171.8","22.6","1.8","498","0.0"
"","Telangana","7950","0","170.2","70.3","-0.3","492","0.0"
"","Karnataka","9278","0","182.3","49.6","1.5","496","0.0"
"","Kerala","3296","0","65.6","55.4","3.3","309","0.0"
"","Tamil Nadu","12825","0","294.6","133.6","-1.0","499","0.0"
"","Pondy","336","0","6.9","7.1","-0.2","50","0.0"
"ER","Bihar","4533","0","71.2","72.4","-1.7","70","0.0"
"","DVC","3032","0","66.6","-33.7","0.0","170","0.0"
"","Jharkhand","1183","0","25.2","16.2","-0.5","80","0.0"
"","Odisha","4879","0","92.4","36.0","2.6","370","0.0"
"","West Bengal","8602","0","169.2","66.1","6.0","350","0.0"
"","Sikkim","70","0","0.8","1.0","-0.2","20","0.0"
"NER","Arunachal Pradesh","109","8","2.0","2.7","-0.7","22","0.0"
"","Assam","1403","43","25.9","19.5","0.6","84","1.5"
"","Manipur","141","7","2.4","2.4","0.0","18","0.0"
"","Meghalaya","293","10","5.3","-1.0","-0.5","54","0.0"
"","Mizoram","86","4","1.6","1.3","0.1","11","0.0"
"","Nagaland","113","9","2.1","2.2","-0.2","25","0.0"
"","Tripura","220","19","4.1","3.1","-0.2","32","0.0"
