"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8066","0","165.1","110.4","-1.6","49","0.0"
"","Haryana","7924","0","169.3","140.2","0.2","203","0.0"
"","Rajasthan","9360","0","210.8","75.4","-0.8","431","0.0"
"","Delhi","4276","0","94.6","78.9","-1.0","132","0.0"
"","UP","13646","0","261.3","123.8","1.6","71","3.3"
"","Uttarakhand","1662","0","36.5","13.6","0.2","117","0.0"
"","HP","1409","0","27.3","7.1","-0.8","66","0.0"
"","J&K","1950","488","30.1","14.5","-1.4","286","7.2"
"","Chandigarh","204","0","4.3","5.1","-0.8","9","0.0"
"WR","Chhattisgarh","3528","0","80.8","33.3","1.2","420","0.0"
"","Gujarat","12472","0","279.2","85.8","3.0","674","0.0"
"","MP","7419","0","152.4","70.5","-3.3","334","0.0"
"","Maharashtra","18044","0","385.6","159.2","-0.2","531","0.0"
"","Goa","541","0","11.9","11.1","0.2","55","0.0"
"","DD","329","0","7.4","6.9","0.5","45","0.0"
"","DNH","789","0","18.4","18.5","-0.1","76","0.0"
"","Essar steel","380","0","7.2","6.9","0.3","567","0.0"
"SR","Andhra Pradesh","6988","0","154.2","57.8","4.8","911","0.0"
"","Telangana","7472","0","160.2","35.7","-0.7","628","0.0"
"","Karnataka","8250","0","163.0","39.0","3.0","685","0.0"
"","Kerala","3421","0","71.3","45.5","1.5","183","0.0"
"","Tamil Nadu","12960","0","291.6","146.9","3.1","888","0.0"
"","Pondy","379","0","7.8","7.6","0.2","65","0.0"
"ER","Bihar","3320","0","53.0","60.8","-7.9","80","0.0"
"","DVC","2917","0","57.8","-17.3","0.0","210","0.0"
"","Jharkhand","1168","0","20.1","12.8","-1.5","8","0.0"
"","Odisha","4034","0","83.2","17.0","8.4","650","0.0"
"","West Bengal","7143","0","133.4","52.1","-3.7","190","0.0"
"","Sikkim","96","0","1.2","1.5","-0.3","10","0.0"
"NER","Arunachal Pradesh","117","2","2.3","2.2","0.1","54","0.0"
"","Assam","1630","153","29.4","23.3","0.6","120","4.5"
"","Manipur","159","3","2.4","2.2","0.2","37","0.0"
"","Meghalaya","344","0","6.1","1.5","-0.1","89","0.0"
"","Mizoram","92","2","1.4","1.1","0.3","40","0.0"
"","Nagaland","122","3","2.2","2.4","-0.5","16","0.0"
"","Tripura","269","2","4.7","4.4","-0.6","38","0.0"
