"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5266","0","104.4","39.9","-2.2","10","0.0"
"","Haryana","5877","0","116.7","104.2","0.8","157","0.0"
"","Rajasthan","11551","0","215.5","56.9","-0.3","537","0.0"
"","Delhi","3337","0","63.4","52.8","-1.0","123","0.0"
"","UP","14493","0","266.6","117.8","0.6","890","1.2"
"","Uttarakhand","1766","0","34.6","19.7","0.6","137","0.0"
"","HP","1580","0","27.9","20.1","-0.5","128","0.0"
"","J&K","2160","540","44.4","37.1","-0.1","201","10.5"
"","Chandigarh","195","0","3.4","3.3","0.0","23","0.0"
"WR","Chhattisgarh","3400","0","71.6","30.7","-0.3","255","0.0"
"","Gujarat","14953","0","326.4","83.0","3.3","500","0.0"
"","MP","12408","0","240.6","154.3","0.0","419","0.0"
"","Maharashtra","20265","0","433.4","136.1","-2.0","485","0.0"
"","Goa","602","0","13.0","12.6","-0.2","28","0.0"
"","DD","327","0","7.4","6.8","0.6","43","0.0"
"","DNH","796","0","18.4","18.3","0.1","50","0.0"
"","Essar steel","315","0","4.8","5.6","-0.8","295","0.0"
"SR","Andhra Pradesh","7829","0","168.6","72.2","0.3","410","0.0"
"","Telangana","9105","0","197.2","85.2","-0.4","405","0.0"
"","Karnataka","9565","0","186.2","37.6","0.3","546","0.0"
"","Kerala","3481","0","71.6","49.9","1.7","301","0.0"
"","Tamil Nadu","13317","0","279.1","159.3","0.8","545","0.0"
"","Pondy","361","0","7.2","7.6","-0.5","29","0.0"
"ER","Bihar","4160","0","68.2","63.2","-1.7","260","0.0"
"","DVC","3079","0","63.7","-37.3","0.5","370","0.0"
"","Jharkhand","1204","0","24.3","17.1","-0.6","31","0.0"
"","Odisha","3944","0","74.8","8.8","0.1","415","0.0"
"","West Bengal","6410","0","112.6","30.7","1.9","510","0.0"
"","Sikkim","124","0","1.8","1.4","0.4","37","0.0"
"NER","Arunachal Pradesh","115","1","2.1","1.7","0.2","11","0.0"
"","Assam","1392","40","23.3","17.9","0.2","67","1.2"
"","Manipur","154","1","2.5","2.5","0.0","39","0.0"
"","Meghalaya","350","0","6.0","3.0","0.3","113","0.0"
"","Mizoram","101","1","2.2","0.8","0.1","24","0.0"
"","Nagaland","119","2","2.3","1.9","0.1","18","0.0"
"","Tripura","226","1","4.0","2.2","-0.1","47","0.0"
