"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5330","0","106.3","41.2","-2.2","203","0.0"
"","Haryana","5849","0","116.3","102.4","0.7","155","0.0"
"","Rajasthan","11944","0","218.7","58.3","-0.1","584","0.0"
"","Delhi","3484","0","64.0","52.9","-0.3","198","0.0"
"","UP","14651","0","265.9","119.9","-0.7","424","0.6"
"","Uttarakhand","1774","0","34.5","20.1","0.2","123","0.0"
"","HP","1565","0","27.3","19.8","-0.7","46","0.4"
"","J&K","2145","536","44.5","39.2","0.0","201","10.5"
"","Chandigarh","200","0","3.4","3.3","0.1","27","0.0"
"WR","Chhattisgarh","3481","0","72.3","29.5","-0.7","207","0.0"
"","Gujarat","15570","0","334.4","91.3","7.5","748","0.0"
"","MP","12563","0","244.0","153.4","-0.1","419","0.0"
"","Maharashtra","20186","0","429.8","133.0","-3.6","572","0.0"
"","Goa","541","0","13.0","12.6","-0.1","36","0.0"
"","DD","332","0","7.4","6.8","0.6","43","0.0"
"","DNH","785","0","18.3","18.4","0.0","39","0.0"
"","Essar steel","297","0","5.4","5.3","0.1","295","0.0"
"SR","Andhra Pradesh","7716","0","169.6","69.6","-0.5","525","0.0"
"","Telangana","9408","0","190.4","79.1","-1.7","377","0.0"
"","Karnataka","9971","0","186.4","43.0","0.5","764","0.0"
"","Kerala","3450","0","71.9","48.7","1.8","244","0.0"
"","Tamil Nadu","13233","0","273.6","156.6","1.5","560","0.0"
"","Pondy","366","0","7.2","7.4","-0.2","44","0.0"
"ER","Bihar","4048","0","68.7","62.9","-1.3","487","0.0"
"","DVC","2890","0","62.7","-35.2","-0.9","291","0.0"
"","Jharkhand","1210","0","24.2","17.1","-0.8","31","0.0"
"","Odisha","4016","0","74.1","7.9","-0.1","240","0.0"
"","West Bengal","6509","0","114.2","30.7","3.4","399","0.0"
"","Sikkim","129","0","1.9","1.3","0.6","45","0.0"
"NER","Arunachal Pradesh","113","2","2.0","2.1","-0.3","28","0.0"
"","Assam","1442","15","23.7","18.0","0.2","82","1.3"
"","Manipur","172","3","2.4","2.6","-0.1","47","0.0"
"","Meghalaya","361","0","6.0","3.0","0.3","46","0.0"
"","Mizoram","96","1","1.7","0.7","0.3","68","0.0"
"","Nagaland","114","2","2.1","2.0","-0.2","18","0.0"
"","Tripura","250","1","3.6","2.0","-0.5","18","0.0"
