"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6393","0","131.4","78.3","-1.1","114","0.0"
"","Haryana","6690","0","136.8","87.4","-0.3","223","0.0"
"","Rajasthan","14144","0","248.1","84.4","3.0","370","0.0"
"","Delhi","4016","0","66.8","51.3","-0.8","212","0.0"
"","UP","15442","0","273.9","110.8","0.9","1198","0.5"
"","Uttarakhand","2082","0","37.2","18.1","-0.1","114","0.0"
"","HP","1635","0","27.2","20.9","-0.8","265","0.0"
"","J&K(UT) and Ladakh(UT)","2438","1219","48.3","45.0","-0.4","229","11.5"
"","Chandigarh","247","0","3.7","3.6","0.1","26","0.0"
"WR","Chhattisgarh","3825","0","82.6","34.3","-1.2","160","0.0"
"","Gujarat","15893","0","348.7","102.0","4.0","529","0.0"
"","MP","14674","0","271.4","141.6","-2.3","802","0.0"
"","Maharashtra","22934","0","474.7","153.3","1.1","980","0.0"
"","Goa","508","0","11.3","10.7","0.0","49","0.0"
"","DD","331","0","7.4","7.0","0.4","37","0.0"
"","DNH","785","0","18.5","18.5","0.0","44","0.0"
"","Essar steel","773","0","10.8","11.2","-0.4","227","0.0"
"SR","Andhra Pradesh","9298","0","189.0","69.0","-0.5","362","0.0"
"","Telangana","11164","0","225.7","114.3","0.2","495","0.0"
"","Karnataka","12747","0","244.6","92.0","-0.5","557","0.0"
"","Kerala","3795","0","77.6","59.5","0.7","260","0.0"
"","Tamil Nadu","14726","0","324.0","165.0","3.2","430","0.0"
"","Pondy","370","0","7.8","7.9","-0.1","42","0.0"
"ER","Bihar","4162","0","75.6","72.0","1.7","400","0.0"
"","DVC","3144","0","63.4","-38.0","0.1","300","0.0"
"","Jharkhand","1275","0","23.0","18.9","0.1","100","0.0"
"","Odisha","4024","0","73.6","0.4","2.2","350","0.0"
"","West Bengal","6576","0","121.7","32.7","-0.7","100","0.0"
"","Sikkim","131","0","2.0","1.9","0.1","40","0.0"
"NER","Arunachal Pradesh","120","2","2.2","2.4","-0.3","13","0.0"
"","Assam","1402","34","23.6","20.9","1.2","140","0.4"
"","Manipur","194","1","2.7","3.0","-0.3","35","0.0"
"","Meghalaya","380","3","6.7","5.7","-0.1","35","0.2"
"","Mizoram","106","1","1.6","1.7","-0.4","20","0.0"
"","Nagaland","129","2","2.2","2.0","0.1","36","0.0"
"","Tripura","223","9","3.8","1.6","-0.3","28","0.0"
