"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","4603","0","91.1","69.7","-0.6","164","0.0"
"","Haryana","5155","0","92.6","85.0","1.1","209","0.0"
"","Rajasthan","10958","0","193.0","50.7","-2.2","439","0.0"
"","Delhi","3419","0","58.8","47.3","-0.6","192","0.0"
"","UP","12996","0","214.0","105.4","1.4","1118","0.0"
"","Uttarakhand","1607","0","30.0","17.0","0.0","160","0.0"
"","HP","1401","0","24.3","19.1","-2.0","21","0.0"
"","J&K(UT) and Ladakh(UT)","2149","537","41.4","37.9","-1.8","371","8.6"
"","Chandigarh","208","0","3.3","3.3","0.0","19","0.0"
"WR","Chhattisgarh","3721","0","81.3","30.5","-0.2","275","0.0"
"","Gujarat","15067","0","323.3","92.2","4.9","1260","0.0"
"","MP","10397","0","202.6","100.6","-2.9","406","0.0"
"","Maharashtra","23089","0","482.4","148.1","-0.1","560","0.0"
"","Goa","485","0","10.4","10.2","-0.3","31","0.0"
"","DD","322","0","7.1","6.8","0.3","42","0.0"
"","DNH","793","0","17.9","17.8","0.1","60","0.0"
"","Essar steel","775","0","5.0","5.1","-0.1","219","0.0"
"SR","Andhra Pradesh","9694","0","197.4","89.6","1.0","621","0.0"
"","Telangana","11856","0","235.4","142.1","0.0","1242","0.0"
"","Karnataka","12845","0","257.9","83.2","1.0","749","0.0"
"","Kerala","4015","0","82.9","62.8","1.4","209","0.0"
"","Tamil Nadu","15248","0","340.6","183.8","0.2","566","0.0"
"","Pondy","401","0","8.4","8.4","0.0","36","0.0"
"ER","Bihar","4053","0","69.3","63.9","-1.8","200","0.0"
"","DVC","2777","0","56.9","-40.6","0.0","250","0.0"
"","Jharkhand","1175","0","22.2","17.8","-0.9","125","0.0"
"","Odisha","3766","0","75.8","4.3","-0.7","240","0.0"
"","West Bengal","6982","0","123.8","33.7","0.0","425","0.0"
"","Sikkim","124","0","1.4","1.8","-0.4","20","0.0"
"NER","Arunachal Pradesh","118","1","2.0","2.7","-0.7","15","0.0"
"","Assam","1401","21","23.3","18.7","0.1","96","0.3"
"","Manipur","180","2","2.6","2.5","0.1","19","0.0"
"","Meghalaya","376","0","5.4","4.2","0.2","55","0.1"
"","Mizoram","101","0","1.7","1.5","-0.1","9","0.0"
"","Nagaland","122","2","2.1","2.1","-0.1","11","0.0"
"","Tripura","234","1","3.8","2.4","-0.1","31","0.0"
