"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3995","0","86.3","56.3","-1.4","123","0.0"
"","Haryana","5064","0","93.0","64.8","1.0","242","0.0"
"","Rajasthan","10077","0","178.7","41.0","-0.3","425","0.0"
"","Delhi","2282","0","46.1","33.9","-2.8","354","0.2"
"","UP","13391","0","240.8","106.9","0.7","544","0.0"
"","Uttarakhand","1131","0","22.5","8.1","-2.6","81","0.0"
"","HP","954","0","18.0","13.0","-4.8","11","0.0"
"","J&K(UT) & Ladakh(UT)","2067","517","45.6","37.1","-1.0","119","10.7"
"","Chandigarh","143","0","2.4","2.7","-0.4","4","0.0"
"WR","Chhattisgarh","3505","0","81.6","28.9","0.0","181","0.0"
"","Gujarat","13564","0","282.4","67.8","-0.6","608","0.0"
"","MP","9290","0","182.1","111.0","-1.8","295","0.0"
"","Maharashtra","17909","0","395.6","112.8","-4.0","618","0.0"
"","Goa","365","0","7.4","7.4","-0.1","68","0.0"
"","DD","282","0","3.6","3.5","0.1","34","0.0"
"","DNH","776","0","13.5","13.7","-0.2","35","0.0"
"","Essar steel","756","0","4.4","4.2","0.2","263","0.0"
"SR","Andhra Pradesh","8514","0","176.7","80.4","0.0","694","0.0"
"","Telangana","10290","0","219.7","119.2","-1.2","610","0.0"
"","Karnataka","11011","0","226.4","79.3","0.2","764","0.0"
"","Kerala","3628","0","69.9","58.6","0.9","234","0.0"
"","Tamil Nadu","12233","0","276.5","169.9","-0.8","611","0.0"
"","Puducherry","327","0","6.1","6.5","-0.4","48","0.0"
"ER","Bihar","3942","0","68.2","66.8","-0.2","336","0.0"
"","DVC","2726","0","57.5","-35.4","0.8","298","0.0"
"","Jharkhand","1256","0","21.5","14.4","-1.8","139","0.0"
"","Odisha","3408","0","66.5","3.9","-0.2","338","0.0"
"","West Bengal","5587","0","100.4","26.8","0.4","528","0.0"
"","Sikkim","82","0","1.0","1.6","-0.6","11","0.0"
"NER","Arunachal Pradesh","118","1","2.1","2.3","-0.3","0","0.0"
"","Assam","1160","22","19.0","15.8","-0.4","101","1.5"
"","Manipur","190","1","2.4","2.4","0.0","34","0.0"
"","Meghalaya","320","0","5.6","4.1","0.5","62","0.1"
"","Mizoram","99","1","1.6","1.4","0.0","19","0.0"
"","Nagaland","124","2","2.2","2.1","0.0","2","0.0"
"","Tripura","216","2","3.1","2.2","-0.3","30","0.0"
