"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3602","0","70.5","54.3","-0.2","123","0.0"
"","Haryana","3895","0","71.2","68.3","0.5","119","0.0"
"","Rajasthan","8169","0","148.9","57.9","-1.3","358","0.0"
"","Delhi","2139","2","44.1","33.2","-1.4","70","0.0"
"","UP","14319","0","241.3","101.2","-0.1","347","0.0"
"","Uttarakhand","1030","0","18.5","4.6","0.6","191","0.0"
"","HP","807","0","12.5","1.0","-1.0","102","0.0"
"","J&K(UT) & Ladakh(UT)","2155","539","41.5","33.2","-2.1","217","9.8"
"","Chandigarh","133","0","2.2","2.0","0.2","22","0.0"
"WR","Chhattisgarh","3097","0","70.8","23.9","-1.6","168","0.0"
"","Gujarat","10665","0","232.2","77.6","0.6","453","0.0"
"","MP","8983","0","165.8","94.4","-1.4","658","0.0"
"","Maharashtra","17361","0","378.0","149.2","1.8","700","0.0"
"","Goa","356","0","7.2","7.3","0.0","37","0.0"
"","DD","68","0","1.5","1.6","-0.1","20","0.0"
"","DNH","84","0","1.8","1.8","0.0","24","0.0"
"","Essar steel","178","0","0.6","0.5","0.2","124","0.0"
"SR","Andhra Pradesh","8222","0","163.2","87.1","-0.2","483","0.0"
"","Telangana","9039","0","189.8","98.3","0.3","506","0.0"
"","Karnataka","11400","0","228.8","83.9","1.8","579","0.0"
"","Kerala","3785","0","71.7","56.3","1.0","170","0.0"
"","Tamil Nadu","11075","0","250.6","180.1","0.5","526","0.0"
"","Puducherry","227","0","4.3","4.7","-0.4","27","0.0"
"ER","Bihar","3868","0","75.1","74.9","-0.9","225","0.0"
"","DVC","1522","0","30.0","-21.7","0.6","333","0.0"
"","Jharkhand","1335","80","24.1","14.7","0.9","140","0.2"
"","Odisha","3362","0","70.3","10.2","0.1","111","0.0"
"","West Bengal","6874","0","138.9","39.4","0.6","365","0.0"
"","Sikkim","95","0","1.2","1.4","-0.2","23","0.0"
"NER","Arunachal Pradesh","112","1","1.5","0.9","0.5","23","0.0"
"","Assam","1272","30","19.8","16.9","0.1","87","0.4"
"","Manipur","181","2","2.3","2.1","0.2","33","0.0"
"","Meghalaya","240","0","3.8","3.4","0.0","21","0.1"
"","Mizoram","95","1","1.6","1.2","0.1","10","0.0"
"","Nagaland","119","1","2.0","1.9","0.1","51","0.0"
"","Tripura","231","1","3.1","3.6","-0.6","32","0.3"
